回収先ID,支払先コード,支払先名,仕入先コード,仕入先名,ﾌﾘｶﾞﾅ,回収先１,回収先２,回収先３,住所･その他１,住所･その他２,住所･その他３,品目１,品目２,品目３,ｽﾎﾟｯﾄ,月,火,水,木,金,土,日,祝日,その他,無効,備考,更新日
11,455000,カナキン㈱,455001,ヴァレオカペック(カナキン),ｳﾞｧﾚｵｶﾍﾟｯｸｼﾞｬﾊﾟﾝ,ｳﾞｧﾚｵｶﾍﾟｯｸｼﾞｬﾊﾟﾝ,(金),↓,厚木市飯山2585,,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
12,384000,大本紙料㈱,384055,ウエルシア相模原田名店(大本),ｳｪﾙｼｱｻｶﾞﾐﾀﾅ,ｳｪﾙｼｱ相模田名店,（月･水･金）,↓,相模原市中央区田名4757,,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
13,621000,㈱クリーンサービス,621001,ｵｰﾄﾊﾞｯｸｽ伊勢原店(ｸﾘｰﾝｻｰﾋﾞｽ),ｵｰﾄﾊﾞｯｸｽｻﾞﾏ,ｵｰﾄﾊﾞｯｸｽ伊勢原店,(土),↓,伊勢原市歌川１丁目４番地１０,,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
14,1203000,ティーエスエンバイロ㈱,1203001,オートバックス座間店(ﾃｨｰｴｽ),ｵｰﾄﾊﾞｯｸｽｲｾﾊﾗ,ｵｰﾄﾊﾞｯｸｽ座間店,（土）,↓,座間市西栗原１丁目７−７,,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
15,,,,,ｶｰﾚﾝﾄｻｰﾋﾞｽ,ｶｰﾚﾝﾄｻｰﾋﾞｽ,,↓,厚木市戸田2024?1,,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
16,437000,㈱カスタム電子,437000,㈱カスタム電子,ｶｽﾀﾑﾃﾞﾝｼ,ｶｽﾀﾑ電子,（隔週水）,↓,町田市木曽西2-5-20,,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
17,1205000,㈱ＤＳＰ,1205023,カンナミアクアシステム(ＤＳＰ),ｶﾝﾅﾐｱｸｱｼｽﾃﾑ,ｶﾝﾅﾐｱｸｱｼｽﾃﾑ,(月),↓,鎌倉市手広1-10-25,,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
18,2042000,㈱ロジスティクス・ネットワーク,2042000,㈱ロジスティクス・ネットワーク,ﾛｼﾞｽﾃｨｯｸﾈｯﾄﾜｰｸ(ｷｮｸﾚｲ),ﾛｼﾞｽﾃｨｯｸﾈｯﾄﾜｰｸ(ｷｮｸﾚｲ),（木）,↓,厚木市長沼245,,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
19,1205000,㈱ＤＳＰ,1205027,クリナップ南関東テクノ(ＤＳＰ),ｸﾘﾅｯﾌﾟ,ｸﾘﾅｯﾌﾟ,(火･金),↓,厚木市旭町4-11-5,,,段ﾎﾞｰﾙ,,模造ﾊﾞﾗ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
20,1161000,㈱田丸,1161006,ザ・ビッグ厚木旭町店(田丸),ｻﾞﾋﾞｯｸﾞｱﾂｷﾞ,ザ・ビッグ厚木旭町店,,↓,厚木市旭町5-35-8,,,雑故紙,ﾍﾟｯﾄ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
21,1968000,ﾕｱｻﾌﾅｼｮｸ㈱厚木物流ｾﾝﾀｰ,1968000,ﾕｱｻﾌﾅｼｮｸ㈱厚木物流ｾﾝﾀｰ,ﾕｱｻﾌﾅｼｮｸｶﾌﾞ,ﾕｱｻ･ﾌﾅｼｮｸ㈱,(月~土),↓,厚木市酒井1740,,,段ﾎﾞｰﾙ,雑故紙,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
22,,,,,ｻﾝｲﾝﾃﾙﾈｯﾄｴﾋﾞﾅ,ｻﾝｲﾝﾃﾙﾈｯﾄ海老名,,↓,海老名市今里3-26-11,,,段ﾎﾞｰﾙ,雑故紙,雑誌,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
23,1709000,(合)ポジティブ,1709022,ｼｬｰﾌﾟｼﾞｬｽﾀﾞﾛｼﾞｽﾃｨｸｽ(ﾎﾟｼﾞﾃｨﾌﾞ),ｼｬｰﾌﾟｼﾞｬｽﾀﾞﾛｼﾞｽﾃｨｸｽ,ｼｬｰﾌﾟｼﾞｬｽﾀﾞﾛｼﾞｽﾃｨｸｽ,,↓,大和市中央林間7-12-2,ﾀﾞｲﾜｺｰﾎﾟﾚｰｼｮﾝ横浜町田(営)1F,,段ﾎﾞｰﾙ,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
24,,,,,ｾｲﾑｽﾏﾁﾀﾞｷｿ,ｾｲﾑｽ町田木曽店,(月･水･金),↓,町田市木曽町493-2,,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
25,346000,㈱大久保,346004,ﾄﾞﾗｯｸｾｲﾑｽ本町田薬局(大久保),ｾｲﾑｽﾏﾁﾀﾞﾔｯｷｮｸ,ｾｲﾑｽ本町田薬局,(月･水･金),↓,町田市本町田2943-1,,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
26,1036000,㈱セフティ,1036000,㈱セフティ,ｾﾌﾃｨ,ｾﾌﾃｨ,(月),↓,寒川町倉見2212,,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
27,1130000,タキゲン製造㈱厚木支店,1130000,タキゲン製造㈱厚木支店,ﾀｷｹﾞﾝｾｲｿﾞｳ,ﾀｷｹﾞﾝ製造,(月･水･金),↓,厚木市船子580-1,,,,段ﾎﾞｰﾙ,雑誌,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
28,621000,㈱クリーンサービス,621002,ﾀｷﾛﾝｼｰｱｲ㈱(ｸﾘｰﾝｻｰﾋﾞｽ),ﾀｷﾛﾝｼｰｱｲ,ﾀｷﾛﾝｼｰｱｲ,(火･木),↓,平塚市田村3-2-1,,,段ﾎﾞｰﾙ,,段ﾎﾞｰﾙ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
29,1038000,ＪＳＲ－ＮＥＴ,1038002,デジタルプロセス(JSE-NET),ﾃﾞｼﾞﾀﾙﾌﾟﾛｾｽ,ﾃﾞｼﾞﾀﾙﾌﾟﾛｾｽ,(第1月曜日) 13:00台指定,↓,厚木市中町2-9-6    ぱく,※一階受付電話内線117(朴様),,段ﾎﾞｰﾙ,,ｱﾙﾐ缶,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
30,,,,,ﾃﾞﾝｿｰﾃﾝ,ﾃﾞﾝｿｰﾃﾝ,（不定期）,↓,横浜市都筑区茅ヶ崎中央24-4,第6セキビル　８F,エレベータホールに出してある,,,廃ﾌﾟﾗ軟質,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
31,1709000,(合)ポジティブ,1709041,ハートロジスティクス(ﾎﾟｼﾞﾃｨﾌﾞ),ﾊｰﾄﾛｼﾞｻｶﾞﾐﾊﾗ,ﾊｰﾄﾛｼﾞ相模原,担当者　サイトウ様,↓,相模原市緑区橋本台3-13,ＴSlogi橋本2F,℡ 042-703-8705,,段ﾎﾞｰﾙ,廃ﾌﾟﾗ軟質,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
32,863000,敷島製パン㈱,863000,敷島製パン㈱,ｼｷｼﾏｾｲﾊﾟﾝ,敷島製ﾊﾟﾝ(ﾊﾟｽｺ),(土),↓,寒川町一之宮７丁目９−１,伝票はパスコの計量表,に合わせて作る事,,雑袋,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
33,,,,,ﾊﾏｷｮｳﾚｯｸｽ,ﾊﾏｷｮｳﾚｯｸｽ,,↓,綾瀬市吉岡2668-4,綾瀬第一物流ｾﾝﾀｰ,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
34,1535000,㈱パルシステム電力,1535003,パルシステム相模センター,ﾊﾟﾙｼｽﾃﾑｻｶﾞﾐﾊﾗｾﾝﾀｰ,ﾊﾟﾙｼｽﾃﾑ相模ｾﾝﾀｰ,(火),↓,愛川町中津4036-7,,,ﾐｯｸｽ紙,,ｽﾄﾚｯﾁ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
35,1535000,㈱パルシステム電力,1535002,パルシステム相模青果センター,ﾊﾟﾙｼｽﾃﾑｻｶﾞﾐｾｲｶｾﾝﾀｰ,ﾊﾟﾙｼｽﾃﾑ相模青果ｾﾝﾀｰ,(火),↓,愛川町中津4081,,,,ﾐｯｸｽ紙,雑袋,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
36,1205000,㈱ＤＳＰ,1205065,ピアノ運送厚木共配(ＤＳＰ),ﾋﾟｱﾉｳﾝｿｳｱﾂｷﾞｷｮｳﾊｲ,ﾋﾟｱﾉ運送 厚木共配,(金),↓,厚木市酒井3193,,,段ﾎﾞｰﾙ,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
37,1551000,㈱ビートレーディング,1551001,ビギ(ビートレーディング),ﾋﾞｷﾞ,ﾋﾞｷﾞ,,↓,厚木市岡田3105,(なるべく10:00以降),,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
38,1205000,㈱ＤＳＰ,1205069,㈱ブリヂストン横浜工場(ＤＳＰ),ﾌﾞﾘｼﾞｽﾄﾝﾖｺﾊﾏ,ﾌﾞﾘﾁﾞｽﾄﾝ横浜工場,(火･木),↓,横浜市戸塚区柏尾町1番地,,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
39,,,,,ﾍﾟｱ,ﾍﾟｱ,諸口伝票を作り手書きで『ﾍﾟｱ』と記入,↓,横浜市瀬谷区五貫目町23-10,,,,雑誌,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
40,1161000,㈱田丸,1161007,ﾏｯｸｽﾊﾞﾘｭ秦野渋沢店(田丸),ﾏｯｸｽﾊﾞﾘｭﾊﾀﾞﾉ,ﾏｯｸｽﾊﾞﾘｭ秦野渋沢店,,↓,神奈川県秦野市堀川119-1,,,雑故紙,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
41,,,,,ﾏﾙｲﾁ,ﾏﾙｲﾁ,,↓,厚木市酒井3162,,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
42,1205000,㈱ＤＳＰ,1205093,ﾕﾆﾏｯﾄﾗｲﾌ厚木営業所(ＤＳＰ),ﾕﾆﾏｯﾄﾗｲﾌｱﾂｷﾞ,ﾕﾆﾏｯﾄﾗｲﾌ厚木営業所,(月･水･金),↓,厚木市岡田3117,(できれば9:30以降,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
43,1205000,㈱ＤＳＰ,1205097,ﾕﾆﾏｯﾄﾚﾝﾀﾙ厚木(ＤＳＰ),ﾕﾆﾏｯﾄﾚﾝﾀﾙｱﾂｷﾞ,ﾕﾆﾏｯﾄﾚﾝﾀﾙ厚木,(金),↓,厚木市栄2-4-18,,,段ﾎﾞｰﾙ,,ｼｭﾚｯﾀﾞ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
44,1205000,㈱ＤＳＰ,1205098,ユニマットレンタル藤沢(ＤＳＰ),ﾕﾆﾏｯﾄﾌｼﾞｻﾜ,ﾕﾆﾏｯﾄ藤沢,(月),↓,藤沢市柄沢221-3,,,,段ﾎﾞｰﾙ,ｽﾄﾚｯﾁ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
45,50000,㈱旭運送,50000,㈱旭運送,ｱｻﾋｳﾝｿｳ,旭運送,（木）,↓,平塚市下島1022-4,PP/ﾋﾞﾆｰﾙは取らないｽﾄﾚｯﾁのみ,,段ﾎﾞｰﾙ,雑誌,ｽﾄﾚｯﾁ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
46,,,,,ｳﾂﾉﾐﾔﾚｼﾞ,宇都宮螺子(第3木曜),,↓,神奈川県伊勢原市鈴川30,事前℡0463-67-0804,裏門あけてもらう,雑誌,,雑誌,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
47,,,,,ﾈｸｽﾄｴﾅｼﾞ⁻ｱﾝﾄﾞﾘｿｰｽ,ﾈｸｽﾄｴﾅｼﾞ⁻ｱﾝﾄﾞﾘｿｰｽ,㈱浜田,↓,相模原市中央区白雨台3532-9,GLP ALFALINK内,Amazon相模原,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
48,523000,関包スチール㈱,523000,関包スチール㈱,ｶﾝﾎﾟｳｽﾁｰﾙ,関包ｽﾁｰﾙ,,↓,伊勢原市鈴川23,,,段ﾎﾞｰﾙ,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
49,1784000,丸駒運輸㈱,1784000,丸駒運輸㈱,ﾏﾙｺﾏ,丸駒運輸,（木）,↓,平塚市下島1022-11,PP/ﾋﾞﾆｰﾙは取らないｽﾄﾚｯﾁのみ,,段ﾎﾞｰﾙ,雑誌,雑がみ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
50,,,,,ｸﾏｶﾞｲｸﾞﾐDPLﾋﾗﾂｶ,熊谷組DPL平塚,(木),↓,平塚市大神3-1,加村様　080-2928-7487,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
51,,,,,ｺｳﾖｳ,広陽,(第2月曜),↓,藤沢市土棚664-2,外にでていなければｲﾝﾀｰﾎﾝ,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
52,1205000,㈱ＤＳＰ,1205030,鴻池運輸㈱(ＤＳＰ),ｺｳﾉｲｹｳﾝﾕ,鴻池運輸,,↓,愛川町中津4009-3　GLP厚木6F,佐藤様046-280-4333,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
53,1709000,(合)ポジティブ,1709068,三井倉庫ﾛｼﾞｽﾃｨｸｽ㈱(ﾎﾟｼﾞﾃｨﾌﾞ),ﾐﾂｲｿｳｺ,三井倉庫,,↓,相模原市中央区田名赤坂3700-１,GLP ALPHALINK相模原,042-862-0034,段ﾎﾞｰﾙ,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
54,1946000,㈱山崎歯車製作所,1946000,㈱山崎歯車製作所,ﾔﾏｻﾞｷﾊｸﾞﾙﾏｲｾﾊﾗ,山崎歯車 伊勢原工場,(ｽﾎﾟｯﾄ),↓,伊勢原市歌川,,,段ﾎﾞｰﾙ,,雑がみ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
55,1946000,㈱山崎歯車製作所,1946000,㈱山崎歯車製作所,ﾔﾏｻﾞｷﾊｸﾞﾙﾏﾄﾀﾞ,山崎歯車　戸田,(ｽﾎﾟｯﾄ),↓,厚木市戸田674,,,段ﾎﾞｰﾙ,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
56,1533000,㈱春うららかな書房,1533000,㈱春うららかな書房,ﾊﾙｳﾗﾗｶ,春うららかな書房,(月),↓,伊勢原市小稲葉458,,,雑誌,雑誌,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
57,1205000,㈱ＤＳＰ,1205034,小山㈱(ＤＳＰ),ｺﾔﾏ,小山,(月･水･金),↓,厚木市岡田4-5-10,,,段ﾎﾞｰﾙ,,段ﾎﾞｰﾙ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
58,,,,,ｼｮｳﾅﾝｿｳｺ,湘南倉庫,(火),↓,厚木市長沼248,,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
59,1203000,ティーエスエンバイロ㈱,1203003,上州屋座間店(ﾃｨｰｴｽ),ｼﾞｮｳｼｭｳﾔｻﾞﾏ,上州屋座間店,(月),↓,座間市東原1-12-39,,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
60,1205000,㈱ＤＳＰ,1205057,西多摩運送㈱(ＤＳＰ),ﾆｼﾀﾏｳﾝﾕ,西多摩運送,(土),↓,藤沢市宮原1389,(時間指定９:00～11:00),,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
61,774000,㈱サティスファクトリー,774062,早稲田アカデミー本厚木校(SFI),ﾜｾﾀﾞｱｶﾃﾞﾐｰ,早稲田ｱｶﾃﾞﾐｰ本厚木校,(火)　14:00台指定,↓,厚木中町3-11-20本厚木ｹｲﾋﾞﾙ3F,,,段ﾎﾞｰﾙ,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
62,,,,,ｵｵﾆｼｷﾝｿﾞｸ,大西金属,出荷,↓,横浜市瀬谷区阿久和南3-36-7,,,,ｱﾙﾐ缶,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
63,530000,㈲鍛代商事,530000,㈲鍛代商事,ｷﾀｲｼｮｳｼﾞ,鍛代商事,,↓,厚木市酒井2045-1?,,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
64,,,,,ﾄｳｷｮｳｽﾁｰﾙｾﾝﾀｰ,東京ｽﾁｰﾙｾﾝﾀｰ,,↓,愛川町4020-6,,,段ﾎﾞｰﾙ,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
65,1205000,㈱ＤＳＰ,1205052,東京研文社(ＤＳＰ),ﾄｳｷｮｳｹﾝﾌﾞﾝｼｬ,東京研文社 国吉倉庫,東京研文社 配送ｾﾝﾀｰ,↓伝票は1つにする,横浜市緑区青砥町348-3,横浜市緑区青砥町494-4,,,上ｹﾝﾄ,紙管,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
66,,,,,ﾄｳﾚｲｷｱﾂｷﾞ,東京冷機(厚木),,↓,厚木市妻田南1-24-25,,,段ﾎﾞｰﾙ,,雑誌,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
67,1556000,東日本協同パレット㈱,1556000,東日本協同パレット㈱,ﾋｶﾞｼﾆﾎﾝｷｮｳﾄﾞｳﾊﾟﾚｯﾄ,東日本協同ﾊﾟﾚｯﾄ,,↓,厚木市酒井2045-1?ICB 7号,,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
68,1352000,㈱ナカダイ,1352017,東京冷機湘南(ナカダイ),ﾄｳﾚｲ　ｼｮｳﾅﾝ,東冷･湘南営業所,(月),↓,藤沢市辻堂神台2-12-15,,,,段ﾎﾞｰﾙ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
69,1352000,㈱ナカダイ,1352011,東京冷機神奈川ＳＳ(ナカダイ),ﾄｳﾚｲ　ｻｶﾞﾐﾊﾗ　ｶﾅｶﾞﾜ,東冷･神奈川SS,(月),↓,藤沢市白旗2-1-8,,,,段ﾎﾞｰﾙ,雑誌,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
